,sentence,sent_length,end_of_par,final_punct,final_word
1384,At this moment the boat bumped gently into the harbor wall.,59,0,.,wall.
1385,"Hagrid folded up his newspaper, and they clambered up the stone steps onto the street.
",87,1,.,"street.
"
1386,Passersby stared a lot at Hagrid as they walked through the little town to the station.,87,0,.,station.
1387,Harry couldn't blame them.,26,0,.,them.
1388,"Not only was Hagrid twice as tall as anyone else, he kept pointing at perfectly ordinary things like parking meters and saying loudly, ""See that, Harry?",152,0,?,Harry?
1389,"Things these Muggles dream up, eh?""
",36,1,"""","eh?""
"
1390,"""Hagrid,"" said Harry, panting a bit as he ran to keep up, ""did you say there are dragons at Gringotts?""
",104,1,"""","Gringotts?""
"
1391,"""Well, so they say,"" said Hagrid.",33,0,.,Hagrid.
1392,"""Crikey, I'd like a dragon.""
",29,1,"""","dragon.""
"
1393,"""You'd like one?""
",18,1,"""","one?""
"
1394,"""Wanted one ever since I was a kid - here we go.""
",50,1,"""","go.""
"
1395,They had reached the station.,29,0,.,station.
1396,There was a train to London in five minutes' time.,50,0,.,time.
1397,"Hagrid, who didn't understand ""Muggle money,"" as he called it, gave the bills to Harry so he could buy their tickets.
",118,1,.,"tickets.
"
1398,People stared more than ever on the train.,42,0,.,train.
1399,"Hagrid took up two seats and sat knitting what looked like a canary-yellow circus tent.
",88,1,.,"tent.
"
1400,"""Still got yer letter, Harry?""",30,0,"""","Harry?"""
1401,"he asked as he counted stitches.
",33,1,.,"stitches.
"
1402,"Harry took the parchment envelope out of his pocket.
",53,1,.,"pocket.
"
1403,"""Good,"" said Hagrid.",20,0,.,Hagrid.
1404,"""There's a list there of everything yeh need.""
",47,1,"""","need.""
"
1405,"Harry unfolded a second piece of paper he hadn't noticed the night before, and read:
",85,1,:,"read:
"
1406,"HOGWARTS SCHOOL OF WITCHCRAFT and WIZARDRY UNIFORM
",51,1,M,"UNIFORM
"
1407,"First-year students will require:
",34,1,:,"require:
"
1408,1 .,3,0,.,.
1409,"Three sets of plain work robes (black)
",39,1,),"(black)
"
1410,2,2,0,.,2
1411,"One plain pointed hat (black) for day wear
",43,1,r,"wear
"
1412,3,2,0,.,3
1413,"One pair of protective gloves (dragon hide or similar)
",55,1,),"similar)
"
1414,4,2,0,.,4
1415,"One winter cloak (black, silver fastenings)
",44,1,),"fastenings)
"
1416,"Please note that all pupils' clothes should carry name tags
",60,1,s,"tags
"
1417,"COURSE BOOKS
",13,1,S,"BOOKS
"
1418,"All students should have a copy of each of the following:
",58,1,:,"following:
"
1419,"The Standard Book of Spells (Grade 1) by Miranda Goshawk
",57,1,k,"Goshawk
"
1420,"A History of Magic by Bathilda Bagshot
",39,1,t,"Bagshot
"
1421,"Magical Theory by Adalbert Waffling
",36,1,g,"Waffling
"
1422,"A Beginners' Guide to Transfiguration by Emeric Switch
",55,1,h,"Switch
"
1423,"One Thousand Magical Herbs and Fungi by Phyllida Spore
",55,1,e,"Spore
"
1424,"Magical Drafts and Potions by Arsenius Jigger
",46,1,r,"Jigger
"
1425,"Fantastic Beasts and Where to Find Them by Newt Scamander
",58,1,r,"Scamander
"
1426,"The Dark Forces: A Guide to Self-Protection by Quentin Trimble
",63,1,e,"Trimble
"
1427,"OTHER EQUIPMENT
",16,1,T,"EQUIPMENT
"
1428,"1 wand
",7,1,d,"wand
"
1429,"1 cauldron (pewter, standard size 2)
",37,1,),"2)
"
1430,"1 set glass or crystal phials 1telescope 1set brass scales
",59,1,s,"scales
"
1431,"Students may also bring an owl OR a cat OR a toad
",50,1,d,"toad
"
1432,"PARENTS ARE REMINDED THAT FIRST YEARS ARE NOT ALLOWED THEIR OWN BROOMSTICKS
",76,1,S,"BROOMSTICKS
"
1433,"""Can we buy all this in London?""",32,0,"""","London?"""
1434,"Harry wondered aloud.
",22,1,.,"aloud.
"
1435,"""If yeh know where to go,"" said Hagrid.
",40,1,.,"Hagrid.
"
1436,Harry had never been to London before.,38,0,.,before.
1437,"Although Hagrid seemed to know where he was going, he was obviously not used to getting there in an ordinary way.",113,0,.,way.
1438,"He got stuck in the ticket barrier on the Underground, and complained loudly that the seats were too small and the trains too slow.
",132,1,.,"slow.
"
1439,"""I don't know how the Muggles manage without magic,"" he said as they climbed a broken-down escalator that led up to a bustling road lined with shops.
",150,1,.,"shops.
"
1440,Hagrid was so huge that he parted the crowd easily; all Harry had to do was keep close behind him.,98,0,.,him.
1441,"They passed book shops and music stores, hamburger restaurants and cinemas, but nowhere that looked as if it could sell you a magic wand.",137,0,.,wand.
1442,This was just an ordinary street full of ordinary people.,57,0,.,people.
1443,Could there really be piles of wizard gold buried miles beneath them?,69,0,?,them?
1444,Were there really shops that sold spell books and broomsticks?,62,0,?,broomsticks?
1445,Might this not all be some huge joke that the Dursleys had cooked up?,69,0,?,up?
1446,"If Harry hadn't known that the Dursleys had no sense of humor, he might have thought so; yet somehow, even though everything Hagrid had told him so far was unbelievable, Harry couldn't help trusting him.
",204,1,.,"him.
"
1447,"""This is it,"" said Hagrid, coming to a halt, ""the Leaky Cauldron.",65,0,.,Cauldron.
1448,"It's a famous place.""
",22,1,"""","place.""
"
1449,"It was a tiny, grubby-looking pub.",34,0,.,pub.
1450,"If Hagrid hadn't pointed it out, Harry wouldn't have noticed it was there.",74,0,.,there.
1451,The people hurrying by didn't glance at it.,43,0,.,it.
1452,Their eyes slid from the big book shop on one side to the record shop on the other as if they couldn't see the Leaky Cauldron at all.,133,0,.,all.
1453,"In fact, Harry had the most peculiar feeling that only he and Hagrid could see it.",82,0,.,it.
1454,"Before he could mention this, Hagrid had steered him inside.
",61,1,.,"inside.
"
1455,"For a famous place, it was very dark and shabby.",48,0,.,shabby.
1456,"A few old women were sitting in a corner, drinking tiny glasses of sherry.",74,0,.,sherry.
1457,One of them was smoking a long pipe.,36,0,.,pipe.
1458,"A little man in a top hat was talking to the old bartender, who was quite bald and looked like a toothless walnut.",114,0,.,walnut.
1459,The low buzz of chatter stopped when they walked in.,52,0,.,in.
1460,"Everyone seemed to know Hagrid; they waved and smiled at him, and the bartender reached for a glass, saying, ""The usual, Hagrid?""
",130,1,"""","Hagrid?""
"
1461,"""Can't, Tom, I'm on Hogwarts business,"" said Hagrid, clapping his great hand on Harry's shoulder and making Harry's knees buckle.
",130,1,.,"buckle.
"
1462,"""Good Lord,"" said the bartender, peering at Harry, ""is this - can this be - ?""
",79,1,"""","?""
"
1463,"The Leaky Cauldron had suddenly gone completely still and silent.
",66,1,.,"silent.
"
1464,"""Bless my soul,"" whispered the old bartender, ""Harry Potter ... what an honor.""
",80,1,"""","honor.""
"
1465,"He hurried out from behind the bar, rushed toward Harry and seized his hand, tears in his eyes.
",96,1,.,"eyes.
"
1466,"""Welcome back, Mr. Potter, welcome back.""
",42,1,"""","back.""
"
1467,Harry didn't know what to say.,30,0,.,say.
1468,Everyone was looking at him.,28,0,.,him.
1469,The old woman with the pipe was puffing on it without realizing it had gone out.,80,0,.,out.
1470,"Hagrid was beaming.
",20,1,.,"beaming.
"
1471,"Then there was a great scraping of chairs and the next moment, Harry found himself shaking hands with everyone in the Leaky Cauldron.
",134,1,.,"Cauldron.
"
1472,"""Doris Crockford, Mr. Potter, can't believe I'm meeting you at last.""
",70,1,"""","last.""
"
1473,"""So proud, Mr. Potter, I'm just so proud.""
",43,1,"""","proud.""
"
1474,"""Always wanted to shake your hand - I'm all of a flutter.""
",59,1,"""","flutter.""
"
1475,"""Delighted, Mr. Potter, just can't tell you, Diggle's the name, Dedalus Diggle.""
",81,1,"""","Diggle.""
"
1476,"""I've seen you before!""",23,0,"""","before!"""
1477,"said Harry, as Dedalus Diggle's top hat fell off in his excitement.",67,0,.,excitement.
1478,"""You bowed to me once in a shop.""
",34,1,"""","shop.""
"
1479,"""He remembers!""",15,0,"""","remembers!"""
1480,"cried Dedalus Diggle, looking around at everyone.",49,0,.,everyone.
1481,"""Did you hear that?",19,0,?,that?
1482,"He remembers me!""
",18,1,"""","me!""
"
1483,"Harry shook hands again and again - Doris Crockford kept coming back for more.
",79,1,.,"more.
"
1484,"A pale young man made his way forward, very nervously.",54,0,.,nervously.
1485,"One of his eyes was twitching.
",31,1,.,"twitching.
"
1486,"""Professor Quirrell!""",21,0,"""","Quirrell!"""
1487,said Hagrid.,12,0,.,Hagrid.
1488,"""Harry, Professor Quirrell will be one of your teachers at Hogwarts.""
",70,1,"""","Hogwarts.""
"
1489,"""P-P-Potter,"" stammered Professor Quirrell, grasping Harry's hand, ""c-can't t-tell you how p-pleased I am to meet you.""
",120,1,"""","you.""
"
1490,"""What sort of magic do you teach, Professor Quirrell?""
",55,1,"""","Quirrell?""
"
1491,"""D-Defense Against the D-D-Dark Arts,"" muttered Professor Quirrell, as though he'd rather not think about it.",109,0,.,it.
1492,"""N-not that you n-need it, eh, P-P-Potter?""
",44,1,"""","P-P-Potter?""
"
1493,He laughed nervously.,21,0,.,nervously.
1494,"""You'll be g-getting all your equipment, I suppose?",51,0,?,suppose?
1495,"I've g-got to p-pick up a new b- book on vampires, m-myself.""",61,0,"""","m-myself."""
1496,"He looked terrified at the very thought.
",41,1,.,"thought.
"
1497,But the others wouldn't let Professor Quirrell keep Harry to himself.,69,0,.,himself.
1498,It took almost ten minutes to get away from them all.,53,0,.,all.
1499,"At last, Hagrid managed to make himself heard over the babble.
",63,1,.,"babble.
"
1500,"""Must get on - lots ter buy.",28,0,.,buy.
1501,"Come on, Harry.""
",17,1,"""","Harry.""
"
1502,"Doris Crockford shook Harry's hand one last time, and Hagrid led them through the bar and out into a small, walled courtyard, where there was nothing but atrash can and a few weeds.
",182,1,.,"weeds.
"
1503,"Hagrid grinned at Harry.
",25,1,.,"Harry.
"
1504,"""Told yeh, didn't I?",20,0,?,I?
1505,Told yeh you was famous.,24,0,.,famous.
1506,"Even Professor Quirrell was tremblin' ter meet yeh - mind you, he's usually tremblin'.""
",88,1,"""","tremblin'.""
"
1507,"""Is he always that nervous?""
",29,1,"""","nervous?""
"
1508,"""Oh, yeah.",10,0,.,yeah.
1509,Poor bloke.,11,0,.,bloke.
1510,Brilliant mind.,15,0,.,mind.
1511,He was fine while he was studyin' outta books but then he took a year off ter get some firsthand experience.,108,0,.,experience.
1512,...,3,0,.,...
1513,"They say he met vampires in the Black Forest, and there was a nasty bit o' trouble with a hag - never been the same since.",122,0,.,since.
1514,"Scared of the students, scared of his own subject - now, where's me umbrella?""
",79,1,"""","umbrella?""
"
1515,Vampires?,9,0,?,Vampires?
1516,Hags?,5,0,?,Hags?
1517,"Harry's head was swimming.
",27,1,.,"swimming.
"
1518,"Hagrid, meanwhile, was counting bricks in the wall above the trash can.
",72,1,.,"can.
"
1519,"""Three up ... two across ..."" he muttered.",42,0,.,muttered.
1520,"""Right, stand back, Harry.""
",28,1,"""","Harry.""
"
1521,"He tapped the wall three times with the point of his umbrella.
",63,1,.,"umbrella.
"
1522,"The brick he had touched quivered - it wriggled - in the middle, a small hole appeared - it grew wider and wider - a second later they were facing an archway large enough even for Hagrid, an archway onto a cobbled street that twisted and turned out of sight.
",259,1,.,"sight.
"
1523,"""Welcome,"" said Hagrid, ""to Diagon Alley.""
",43,1,"""","Alley.""
"
1524,He grinned at Harry's amazement.,32,0,.,amazement.
1525,They stepped through the archway.,33,0,.,archway.
1526,"Harry looked quickly over his shoulder and saw the archway shrink instantly back into solid wall.
",98,1,.,"wall.
"
1527,The sun shone brightly on a stack of cauldrons outside the nearest shop.,72,0,.,shop.
1528,"Cauldrons - All Sizes - Copper, Brass, Pewter, Silver - Self-Stirring - Collapsible, said a sign hanging over them.
",116,1,.,"them.
"
1529,"""Yeah, you'll be needin' one,"" said Hagrid, ""but we gotta get yer money first.""
",80,1,"""","first.""
"
1530,Harry wished he had about eight more eyes.,42,0,.,eyes.
1531,"He turned his head in every direction as they walked up the street, trying to look at everything at once: the shops, the things outside them, the people doing their shopping.",174,0,.,shopping.
1532,"A plump woman outside an Apothecary was shaking her head as they passed, saying,
",81,1,",","saying,
"
1533,"""Dragon liver, sixteen Sickles an ounce, they're mad.""
",55,1,"""","mad.""
"
1534,"A low, soft hooting came from a dark shop with a sign saying Eeylops Owl Emporium - Tawny, Screech, Barn, Brown, and Snowy.",123,0,.,Snowy.
1535,Several boys of about Harry's age had their noses pressed against a window with broomsticks in it.,98,0,.,it.
1536,"""Look,"" Harry heard one of them say, ""the new Nimbus Two Thousand - fastest ever - "" There were shops selling robes, shops selling telescopes and strange silver instruments Harry had never seen before, windows stacked with barrels of bat spleens and eels' eyes, tottering piles of spell books, quills, and rolls of parchment, potion bottles, globes of the moon.",361,0,.,moon.
1537,"...
",4,1,.,"...
"
1538,"""Gringotts,"" said Hagrid.
",26,1,.,"Hagrid.
"
1539,They had reached a snowy white building that towered over the other little shops.,81,0,.,shops.
1540,"Standing beside its burnished bronze doors, wearing a uniform of scarlet and gold, was -
",89,1,-,"-
"
1541,"""Yeah, that's a goblin,"" said Hagrid quietly as they walked up the white stone steps toward him.",96,0,.,him.
1542,The goblin was about a head shorter than Harry.,47,0,.,Harry.
1543,"He had a swarthy, clever face, a pointed beard and, Harry noticed, very long fingers and feet.",94,0,.,feet.
1544,He bowed as they walked inside.,31,0,.,inside.
1545,"Now they were facing a second pair of doors, silver this time, with words engraved upon them:
",94,1,:,"them:
"
1546,"Enter, stranger, but take heed
",31,1,d,"heed
"
1547,"Of what awaits the sin of greed,
",33,1,",","greed,
"
1548,"For those who take, but do not earn,
",37,1,",","earn,
"
1549,"Must pay most dearly in their turn.
",36,1,.,"turn.
"
1550,"So if you seek beneath our floors
",34,1,s,"floors
"
1551,"A treasure that was never yours,
",33,1,",","yours,
"
1552,"Thief, you have been warned, beware
",36,1,e,"beware
"
1553,"Of finding more than treasure there.
",37,1,.,"there.
"
1554,"""Like I said, yeh'd be mad ter try an' rob it,"" said Hagrid.
",61,1,.,"Hagrid.
"
1555,A pair of goblins bowed them through the silver doors and they were in a vast marble hall.,90,0,.,hall.
1556,"About a hundred more goblins were sitting on high stools behind a long counter, scribbling in large ledgers, weighing coins in brass scales, examining precious stones through eyeglasses.",186,0,.,eyeglasses.
1557,"There were too many doors to count leading off the hall, and yet more goblins were showing people in and out of these.",118,0,.,these.
1558,"Hagrid and Harry made for the counter.
",39,1,.,"counter.
"
1559,"""Morning,"" said Hagrid to a free goblin.",40,0,.,goblin.
1560,"""We've come ter take some money outta Mr. Harry Potter's safe.""
",64,1,"""","safe.""
"
1561,"""You have his key, sir?""
",25,1,"""","sir?""
"
1562,"""Got it here somewhere,"" said Hagrid, and he started emptying his pockets onto the counter, scattering a handful of moldy dog biscuits over the goblins book of numbers.",168,0,.,numbers.
1563,The goblin wrinkled his nose.,29,0,.,nose.
1564,"Harry watched the goblin on their right weighing a pile of rubies as big as glowing coals.
",91,1,.,"coals.
"
1565,"""Got it,"" said Hagrid at last, holding up a tiny golden key.
",61,1,.,"key.
"
1566,"The goblin looked at it closely.
",33,1,.,"closely.
"
1567,"""That seems to be in order.""
",29,1,"""","order.""
"
1568,"""An' I've also got a letter here from Professor Dumbledore,"" said Hagrid importantly, throwing out his chest.",109,0,.,chest.
1569,"""It's about the You-Know-What in vault seven hundred and thirteen.""
",68,1,"""","thirteen.""
"
1570,"The goblin read the letter carefully.
",38,1,.,"carefully.
"
1571,"""Very well,"" he said, handing it back to Hagrid, ""I will have someone take you down to both vaults.",99,0,.,vaults.
1572,"Griphook!""
",11,1,"""","Griphook!""
"
1573,Griphook was yet another goblin.,32,0,.,goblin.
1574,"Once Hagrid had crammed all the dog biscuits back inside his pockets, he and Harry followed Griphook toward one of the doors leading off the hall.
",147,1,.,"hall.
"
1575,"""What's the You-Know-What in vault seven hundred and thirteen?""",63,0,"""","thirteen?"""
1576,"Harry asked.
",13,1,.,"asked.
"
1577,"""Can't tell yeh that,"" said Hagrid mysteriously.",48,0,.,mysteriously.
1578,"""Very secret.",13,0,.,secret.
1579,Hogwarts business.,18,0,.,business.
1580,Dumbledore's trusted me.,24,0,.,me.
1581,"More'n my job's worth ter tell yeh that.""
",42,1,"""","that.""
"
1582,Griphook held the door open for them.,37,0,.,them.
1583,"Harry, who had expected more marble, was surprised.",51,0,.,surprised.
1584,They were in a narrow stone passageway lit with flaming torches.,64,0,.,torches.
1585,It sloped steeply downward and there were little railway tracks on the floor.,77,0,.,floor.
1586,Griphook whistled and a small cart came hurtling up the tracks toward them.,75,0,.,them.
1587,"They climbed in - Hagrid with some difficulty -and were off.
",61,1,.,"off.
"
1588,At first they just hurtled through a maze of twisting passages.,63,0,.,passages.
1589,"Harry tried to remember, left, right, right, left, middle fork, right, left, but it was impossible.",99,0,.,impossible.
1590,"The rattling cart seemed to know its own way, because Griphook wasn't steering.
",80,1,.,"steering.
"
1591,"Harry's eyes stung as the cold air rushed past them, but he kept them wide open.",80,0,.,open.
1592,"Once, he thought he saw aburst of fire at the end of a passage and twisted around to see if it was a dragon, but too late - they plunged even deeper, passing an underground lake where huge stalactites and stalagmites grew from the ceiling and floor.
",250,1,.,"floor.
"
1593,"""I never know,"" Harry called to Hagrid over the noise of the cart, ""what's the difference between a stalagmite and a stalactite?""
",130,1,"""","stalactite?""
"
1594,"""Stalagmite's got an 'm' in it,"" said Hagrid.",45,0,.,Hagrid.
1595,"""An' don' ask me questions just now, I think I'm gonna be sick.""
",65,1,"""","sick.""
"
1596,"He did look very green, and when the cart stopped at last beside a small door in the passage wall, Hagrid got out and had to lean against the wall to stop his knees from trembling.
",181,1,.,"trembling.
"
1597,Griphook unlocked the door.,27,0,.,door.
1598,"A lot of green smoke came billowing out, and as it cleared, Harry gasped.",73,0,.,gasped.
1599,Inside were mounds of gold coins.,33,0,.,coins.
1600,Columns of silver.,18,0,.,silver.
1601,"Heaps of little bronze Knuts.
",30,1,.,"Knuts.
"
1602,"""All yours,"" smiled Hagrid.
",28,1,.,"Hagrid.
"
1603,All Harry's - it was incredible.,32,0,.,incredible.
1604,The Dursleys couldn't have known about this or they'd have had it from him faster than blinking.,96,0,.,blinking.
1605,How often had they complained how much Harry cost them to keep?,63,0,?,keep?
1606,"And all the time there had been a small fortune belonging to him, buried deep under London.
",92,1,.,"London.
"
1607,"Hagrid helped Harry pile some of it into a bag.
",48,1,.,"bag.
"
1608,"""The gold ones are Galleons,"" he explained.
",44,1,.,"explained.
"
1609,"""Seventeen silver Sickles to a Galleon and twenty-nine Knuts to a Sickle, it's easy enough.",91,0,.,enough.
1610,"Right, that should be enough fer a couple o' terms, we'll keep the rest safe for yeh.""",86,0,"""","yeh."""
1611,He turned to Griphook.,22,0,.,Griphook.
1612,"""Vault seven hundred and thirteen now, please, and can we go more slowly?""
",75,1,"""","slowly?""
"
1613,"""One speed only,"" said Griphook.
",33,1,.,"Griphook.
"
1614,They were going even deeper now and gathering speed.,52,0,.,speed.
1615,The air became colder and colder as they hurtled round tight corners.,69,0,.,corners.
1616,"They went rattling over an underground ravine, and Harry leaned over the side to try to see what was down at the dark bottom, but Hagrid groaned and pulled him back by the scruff of his neck.
",192,1,.,"neck.
"
1617,"Vault seven hundred and thirteen had no keyhole.
",49,1,.,"keyhole.
"
1618,"""Stand back,"" said Griphook importantly.",40,0,.,importantly.
1619,"He stroked the door gently with one of his long fingers and it simply melted away.
",83,1,.,"away.
"
1620,"""If anyone but a Gringotts goblin tried that, they'd be sucked through the door and trapped in there,"" said Griphook.
",118,1,.,"Griphook.
"
1621,"""How often do you check to see if anyone's inside?""",51,0,"""","inside?"""
1622,"Harry asked.
",13,1,.,"asked.
"
1623,"""About once every ten years,"" said Griphook with a rather nasty grin.
",70,1,.,"grin.
"
1624,"Something really extraordinary had to be inside this top security vault, Harry was sure, and he leaned forward eagerly, expecting to see fabulous jewels at the very least - but at first he thought it was empty.",210,0,.,empty.
1625,Then he noticed a grubby little package wrapped up in brown paper lying on the floor.,85,0,.,floor.
1626,Hagrid picked it up and tucked it deep inside his coat.,55,0,.,coat.
1627,"Harry longed to know what it was, but knew better than to ask.
",63,1,.,"ask.
"
1628,"""Come on, back in this infernal cart, and don't talk to me on the way back, it's best if I keep me mouth shut,"" said Hagrid.
",125,1,.,"Hagrid.
"
1629,One wild cart ride later they stood blinking in the sunlight outside Gringotts.,79,0,.,Gringotts.
1630,Harry didn't know where to run first now that he had a bag full of money.,73,0,.,money.
1631,"He didn't have to know how many Galleons there were to apound to know that he was holding more money than he'd had in his whole life - more money than even Dudley had ever had.
",177,1,.,"had.
"
1632,"""Might as well get yer uniform,"" said Hagrid, nodding toward Madam Malkin's Robes for All Occasions.",100,0,.,Occasions.
1633,"""Listen, Harry, would yeh mind if I slipped off fer a pick-me-up in the Leaky Cauldron?",87,0,?,Cauldron?
1634,"I hate them Gringotts carts.""",29,0,"""","carts."""
1635,"He did still look a bit sick, so Harry entered Madam Malkin's shop alone, feeling nervous.
",91,1,.,"nervous.
"
1636,"Madam Malkin was a squat, smiling witch dressed all in mauve.
",62,1,.,"mauve.
"
1637,"""Hogwarts, dear?""",17,0,"""","dear?"""
1638,"she said, when Harry started to speak.",38,0,.,speak.
1639,"""Got the lot here - another young man being fitted up just now, in fact.""
",74,1,"""","fact.""
"
1640,"In the back of the shop, a boy with a pale, pointed face was standing on a footstool while a second witch pinned up his long black robes.",137,0,.,robes.
1641,"Madam Malkin stood Harry on a stool next to him, slipped a long robe over his head, and began to pin it to the right length.
",125,1,.,"length.
"
1642,"""Hello,"" said the boy, ""Hogwarts, too?""
",40,1,"""","too?""
"
1643,"""Yes,"" said Harry.
",19,1,.,"Harry.
"
1644,"""My father's next door buying my books and mother's up the street looking at wands,"" said the boy.",98,0,.,boy.
1645,"He had abored, drawling voice.",30,0,.,voice.
1646,"""Then I'm going to drag them off to look at racing brooms.",58,0,.,brooms.
1647,I don't see why first years can't have their own.,49,0,.,own.
1648,"I think I'll bully father into getting me one and I'll smuggle it in somehow.""
",79,1,"""","somehow.""
"
1649,"Harry was strongly reminded of Dudley.
",39,1,.,"Dudley.
"
1650,"""Have you got your own broom?""",30,0,"""","broom?"""
1651,"the boy went on.
",17,1,.,"on.
"
1652,"""No,"" said Harry.
",18,1,.,"Harry.
"
1653,"""Play Quidditch at all?""
",25,1,"""","all?""
"
1654,"""No,"" Harry said again, wondering what on earth Quidditch could be.
",68,1,.,"be.
"
1655,""" I do - Father says it's a crime if I'm not picked to play for my House, and I must say, I agree.",98,0,.,agree.
1656,"Know what House you 11 be in yet?""
",35,1,"""","yet?""
"
1657,"""No,"" said Harry, feeling more stupid by the minute.
",53,1,.,"minute.
"
1658,"""Well, no one really knows until they get there, do they, but I know I'll be in Slytherin, all our family have been - imagine being in Hufflepuff, I think I'd leave, wouldn't you?""
",181,1,"""","you?""
"
1659,"""Mmm,"" said Harry, wishing he could say something a bit more interesting.
",74,1,.,"interesting.
"
1660,"""I say, look at that man!""",26,0,"""","man!"""
1661,"said the boy suddenly, nodding toward the front window.",55,0,.,window.
1662,"Hagrid was standing there, grinning at Harry and pointing at two large ice creams to show he couldn't come in.
",111,1,.,"in.
"
1663,"""That's Hagrid,"" said Harry, pleased to know something the boy didn't.",70,0,.,didn't.
1664,"""He works at Hogwarts.""
",24,1,"""","Hogwarts.""
"
1665,"""Oh,"" said the boy, ""I've heard of him.",39,0,.,him.
1666,"He's a sort of servant, isn't he?""
",35,1,"""","he?""
"
1667,"""He's the gamekeeper,"" said Harry.",34,0,.,Harry.
1668,"He was liking the boy less and less every second.
",50,1,.,"second.
"
1669,"""Yes, exactly.",14,0,.,exactly.
1670,"I heard he's a sort of savage - lives in a hut on the school grounds and every now and then he gets drunk, tries to do magic, and ends up setting fire to his bed.""
",164,1,"""","bed.""
"
1671,"""I think he's brilliant,"" said Harry coldly.
",45,1,.,"coldly.
"
1672,"""Do you?""",9,0,"""","you?"""
1673,"said the boy, with a slight sneer.",34,0,.,sneer.
1674,"""Why is he with you?",20,0,?,you?
1675,"Where are your parents?""
",25,1,"""","parents?""
"
1676,"""They're dead,"" said Harry shortly.",35,0,.,shortly.
1677,"He didn't feel much like going into the matter with this boy.
",62,1,.,"boy.
"
1678,"""Oh, sorry,"" said the other, not sounding sorry at all.",55,0,.,all.
1679,"""But they were our kind, weren't they?""
",40,1,"""","they?""
"
1680,"""They were a witch and wizard, if that's what you mean.""
",57,1,"""","mean.""
"
1681,"""I really don't think they should let the other sort in, do you?",64,0,?,you?
1682,"They're just not the same, they've never been brought up to know our ways.",74,0,.,ways.
1683,"Some of them have never even heard of Hogwarts until they get the letter, imagine.",82,0,.,imagine.
1684,I think they should keep it in the old wizarding families.,58,0,.,families.
1685,"What's your surname, anyway?""
",30,1,"""","anyway?""
"
1686,"But before Harry could answer, Madam Malkin said, ""That's you done, my dear,"" and Harry, not sorry for an excuse to stop talking to the boy, hopped down from the footstool.
",173,1,.,"footstool.
"
1687,"""Well, I'll see you at Hogwarts, I suppose,"" said the drawling boy.
",68,1,.,"boy.
"
1688,"Harry was rather quiet as he ate the ice cream Hagrid had bought him (chocolate and raspberry with chopped nuts).
",114,1,.,"nuts).
"
1689,"""What's up?""",12,0,"""","up?"""
1690,"said Hagrid.
",13,1,.,"Hagrid.
"
1691,"""Nothing,"" Harry lied.",22,0,.,lied.
1692,They stopped to buy parchment and quills.,41,0,.,quills.
1693,Harry cheered up a bit when he found a bottle of ink that changed color as you wrote.,85,0,.,wrote.
1694,"When they had left the shop, he said, ""Hagrid, what's Quidditch?""
",66,1,"""","Quidditch?""
"
1695,"""Blimey, Harry, I keep forgettin' how little yeh know - not knowin' about Quidditch!""
",86,1,"""","Quidditch!""
"
1696,"""Don't make me feel worse,"" said Harry.",39,0,.,Harry.
1697,"He told Hagrid about the pale boy in Madam Malkin's.
",53,1,.,"Malkin's.
"
1698,""" - and he said people from Muggle families shouldn't even be allowed in - ""
",77,1,"""","""
"
1699,"""Yer not from a Muggle family.",30,0,.,family.
1700,If he'd known who yeh were - he's grown up knowin' yer name if his parents are wizardin' folk.,94,0,.,folk.
1701,You saw what everyone in the Leaky Cauldron was like when they saw yeh.,71,0,.,yeh.
1702,"Anyway, what does he know about it, some o' the best Iever saw were the only ones with magic in 'em in a long line o' Muggles - look at yer mum!",144,0,!,mum!
1703,"Look what she had fer a sister!""
",33,1,"""","sister!""
"
1704,"""So what is Quidditch?""
",24,1,"""","Quidditch?""
"
1705,"""It's our sport.",16,0,.,sport.
1706,Wizard sport.,13,0,.,sport.
1707,"It's like - like soccer in the Muggle world - everyone follows Quidditch - played up in the air on broomsticks and there's four balls - sorta hard ter explain the rules.""
",171,1,"""","rules.""
"
1708,"""And what are Slytherin and Hufflepuff?""
",41,1,"""","Hufflepuff?""
"
1709,"""School Houses.",15,0,.,Houses.
1710,There's four.,13,0,.,four.
1711,"Everyone says Hufflepuff are a lot o' duffers, but - ""
",55,1,"""","""
"
1712,"""I bet I'm in Hufflepuff,"" said Harry gloomily.
",48,1,.,"gloomily.
"
1713,"""Better Hufflepuff than Slytherin,"" said Hagrid darkly.",55,0,.,darkly.
1714,"""There's not a single witch or wizard who went bad who wasn't in Slytherin.",75,0,.,Slytherin.
1715,"You-Know-Who was one.""
",23,1,"""","one.""
"
1716,"""Vol-, sorry - You-Know-Who was at Hogwarts?""
",46,1,"""","Hogwarts?""
"
1717,"""Years an' years ago,"" said Hagrid.
",36,1,.,"Hagrid.
"
1718,They bought Harry's school books in a shop called Flourish and Blotts where the shelves were stacked to the ceiling with books as large as paving stones bound in leather; books the size of postage stamps in covers of silk; books full of peculiar symbols and a few books with nothing in them at all.,298,0,.,all.
1719,"Even Dudley, who never read anything, would have been wild to get his hands on some of these.",93,0,.,these.
1720,"Hagrid almost had to drag Harry away from Curses and Counter-curses (Bewitch Your Friends and Befuddle Your Enemies with the Latest Revenges: Hair Loss, Jelly-Legs, Tongue-Tying and Much, Much More) by Professor Vindictus Viridian.
",232,1,.,"Viridian.
"
